site_category_lv1,overall_rating,review_title,review_text
"Cama, Mesa e Banho",5,Elegante!!,"Amei a cortina, ela deu um charme especial na minha sala e deixou o ambiente mais chique, além de escurecer completamente durante o dia, o que é ótimo para sala enquanto o uso da televisão..."
Móveis,4,Recomendo,"Produto de qualidade, atende às expectativas. Entrega no prazo indicado, tudo Ok."
Celulares e Smartphones,3,CUSTO X BANEFICIO BOM,APARENTEMENTE PARECE SER BOM.   ALGUMAS FUNCIONALIDADES QUE AJUDAM BASTANTE.
Móveis,5,impressão de altíssima qualidade,"produto chegou super rápido, bem antes do combinado, recomendo a todos, empresa com atendimento vip com o cliente. parabéns"
Saúde,4,produto sensacional,produto muito obm... ruduz ate mesmo as colicas...fora que vc fica mais segura
Informática,2,não gostei do produto,Tablet sem câmera atrás e com a resolução muito ruim.
Celulares e Smartphones,5,Amei,Muito lindo.  Superou minhas expectativas. Super recomendo.
Automotivo,3,Bom produto.,"Atrasou 2 dias na entrega, mas culpo os Correios, que ultimamente não entregam as coisas  muito no prazo."
Eletroportáteis,2,Não recomendo,Não tem a mesma eficiência que o original! Não recomendo!
Brinquedos,3,ENTREGA 02 MESES DEPOIS,"VERGONHA, essa é a descrição que faço sobre a AMERICANAS, comprei 01 jogo desse ha quase 02 meses atras, presente para o NATAL, e só entregaram hoje. Minha filha teve o NATAL FRUSTADO sem presente. NÃO RECOMENDO DE JEITO NENHUM COMPRAR NA AMERICANAS"
Ar-condicionado e Aquecedores,4,Bom custo benefício,"O ar condicionado é ótimo, mas falta algumas funções. As abas internas não movimentam e nas especificações NÃO há essa informação, além disso o movimento da aba que fecha o  ar no automático é muito pouco. Por fim, o controle remoto NÃO tem luz!! Aí para aumentar ou diminuir a temperatura só ligando a luz do quarto!!"
Papelaria,3,Bom,Apesar de ter vindo faltando  uma tinta. E as cores não serem tão bonitas foi satisfatório e no prazo
Livros,5,ótimo Hesse,"Um texto de Hermann Hesse desconhecido para mim, e talvez para muitos. Recomendo para os que transitam pela terceira idade. As reflexões do autor terão um eco ampliado."
Móveis,5,maravilhosa,"Muito melhor que o esperado, achei que era menor mas o tamanho é ótimo, perfeita, minha filha amou, super recomendo"
Celulares e Smartphones,5,Satisfação na compra,"Me surpreendi com a agilidade da entrega, super recomendo as Lojas Americanas, comprei por um preço excelente e principalmente respeito o prazo de entrega estabelecido, cliente bom é cliente satisfeito."
Móveis,5,Muito bom,"Boa qualidade, instalação, fácil instalação e rápida entrega!!!‪"
Casa e Construção,4,Funciona muito bem,"Câmera espetacular,  360'  com nítida resolução, captura os movimentos só atrasa um pouco o alarme.  Estou satisfeito e mais tranquilo podendo observar minha casa a distância."
Celulares e Smartphones,5,Adorei o produto  adorei o produto produto de extrema qualidade perfeita para os meus afazeres do dia dia várias atividades de lazer,"Produto de extrema qualidade, ótimo para gerenciar os meus afazeres do dia a dia, bem como me favorecer bons momentos de lazer e interatividade com meus amigos e familiares."
TV e Home Theater,5,Gostei,Ótimo aparelho de tv Esta atendendo o esperado  Recomendo.
Bebês,5,Fantástico,Excelente e exatamente como descrito e esperado. Recomendo a compra.
Móveis,1,Não recebi o produto,"Ate o momento NÃO recebi o produto, portanto NÃO posso avaliar!  Embora o prazo para a entrega seja ate dia 16/04/18, até o momento não recebi o produto.  Como vocês mandam esta pesquisa se NÃO mandaram o produto?"
Decoração,5,Ameiii,Ficaram lindas em casa e são muito resistentes! Atendimento da loja lcg eletro excelente! Recomendo
Eletroportáteis,3,Ainda não testei,"É bonito, mas mais que isso é robusto e pesado, o que facilita a passagem de roupa. Vou testá-lo e em seguida posso dar a nota."
Celulares e Smartphones,5,Excelente!,"Ótimo smartphone, sistema android muito veloz, estou satisfeito."
Celulares e Smartphones,5,Excelente,Americanas está de parabéns pela entrega! Sempre antes do prazo estipulado por eles!! E o IPhone é maravilhoso!
Beleza e Perfumaria,5,Gostei muito do produto!,Produto muito bom. Faz cortes de excelente qualidade.
Informática,3,Boa Relação Custo - Benefício,"Para leituras digitais(Playbook,Revistas,e PDF)  e vídeos básicos do Netflix /YouTube, é bom. Me surpreendi..."
"Cama, Mesa e Banho",1,Até agora não recebi,Estou aguardando e até agora não me foi enviada nem a nota fiscal...
Eletroportáteis,4,Bom e bonito,Gosto de ferro pesado. Assim acho que a roupa fica mais lisinha.
Móveis,5,recomendo,"meu marido que montou, super facil rs  comprarei novamente com certeza"
Eletrodomésticos,4,Funcional e lindo,"Esteticamente lindo, e funcional! Próprio para quem procura algo compacto marca de excelência"
Automotivo,5,FALAR EM QUALIDADE DE SOM É  SONY,"UM EXCELENTE SOM AUTOMOTIVO , COM MUITA QUALIDADE DE AUDIO E VIDEO  E VÁRIOS RECURSOS PRÁTICOS DE USAR E O QUE MAIS FIQUEI SATISFEITO FOI COM O ESPAÇO DE MEMORIA RAM,  DE 32 GB MUITO DE ESPAÇO PARA OUVIR MÚSICAS  VIA PEN DRIVE  , OU ATÉ  MESMO ASSISTIR VÍDEOS DIVERSOS,   OBS. SÓ ACHEI UM POUCO CARO"
Móveis,3,Bom,"Bom produto, recomendo.                Entrega dentro do combinado"
Eletroportáteis,4,prático e eficiente,"Gostei muito, muito rápido e eficiente, facilita bastante no dia a dia."
Celulares e Smartphones,4,Ótimo produto,Eu comprei para o meu pai e ele gostou muito. E chegou carinho e no prazo.
Celulares e Smartphones,4,Ótimo,"Celular ótimo, preço maravilhoso, estou com ele a 10 dias e estou adorandoo, rápido, bateria dura o dia todo sem preocupação.boom mesmo é sobre a entrega melhor ainda comprei na segunda, quarta feira já estava com o meu celular nas mãos"
Casa e Construção,1,Péssimo,"Estou indignada com essa porcaria de produto, não vale nada liguei pra testar e explodiu com o primeiro jato de água! Quero meu dinheiro de volta."
Brinquedos,5,Gostei do produto,"Produto igual a imagem, fácil de montar, e chegou antes do prazo."
Beleza e Perfumaria,5,Produto ótimo,"Amei o produto, exelente qualidade  super recomendo."
Celulares e Smartphones,5,"Ótima Aquisição, entrega rápida!","Ótimo produto, roda leve demais. Permite cadastrar mais de uma digital, possibilitando o controle dos pais. Ótimo custo/benefício."
Livros,5,O livro é muito bom,"Chegou bem antes do esperado,obrigada e o livro chegou em boas condições, sempre compro c vcs,pois sei q a entrega é certa"
Celulares e Smartphones,1,Produto não recebido;não tenho como avaliar!,.Quando recebo a estorno do pagamento realizado em 23/02/2018 por uma mercadoria que não recebi?
Brinquedos,5,Muito bom!,Exelente para fã de Star Wars e entusiastas de Lego em geral.
Eletroportáteis,5,Superou minhas expectativas!,"Excelente produto! O barulho é razoável (afinal, qual o aspirador não faz barulho?!), mas explicável devido sua potente sucção. Me surpreendeu mesmo! Fácil de limpar, é só lavar o compartimento, muito prático. A entrega foi muito rápida, duas semana antes do prazo. Enfim, estou certa que fiz uma excelente compra!"
Eletroportáteis,5,Ótimo produto e custo beneficio,"Me ajuda bastante no dia a dia rápido e pratico, e deixa os alimentos sempre sequinhos"
Eletroportáteis,4,Gostei do produto,"Fiz apenas um teste, porém percebi que esquenta muito rápido! Material resistente, não é muito leve e nem muito pesado, perfeito! Recomendo o produto."
Informática e Acessórios,5,Excelente produto!,"Teclado simples, porém que executa muito bem os comandos e é ideal para quem trabalha com muita digitação de textos longos. É compacto, muito leve e com teclas super silenciosas. Com certeza eu recomendo a compra. A qualidade Dell não deixa a desejar!"
Pet Shop,3,Recomendo aos Pais de Gatos,A porta móvel prende na base. Não achei legal por que o gatinho precisa empurrar com mais força e os tamanhos A e B para acoplar a espessura da porta não são dos padrões de espessura das portas brasileiras. Diferença de alguns milímetros. Mas não impede a instalação.
Utilidades Domésticas,1,Qualidade do Produto,Acabamento de qualidade duvidosa. A parte onde encaixamos as mãos para levantar o cesto é muito fina e cortou a mão de minha esposa.
Utilidades Domésticas,5,Super prático,Dispensa rodo e pano de chão. Vale super comprar. Não preciso mais lavar esfregar e torcer pano de chão.
Eletroportáteis,3,Bom para trabalhos leve.,"Uma maquina recomendado para trabalhos leves. Ajuda bastante no dia-dia e, é ótimo para iniciantes, recomendo."
Casa e Construção,5,Muito forte,"Ilumina muito bem bom para lugares amplos, a cor é um pouco amarela"
Utilidades Domésticas,5,Lindo,"Adorei, veda muito bem e é lindo. Muito funcional também.. Excelente"
Casa e Construção,2,Não porque não recebi até hoje o produto,Dessa forma não tem como dizer que o produto é bom  Nao recebi o produto até hoje assim fica dificil
Decoração,4,Ótimo produto,Produto de qualidade! Recomento a todos! xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
Celulares e Smartphones,5,Excelente telefone,"Estou muito satisfeito com este telefone, principalmente com sua incrível bateria de 5000 miliamperes.  Maravilhoso"
Relógios,1,Péssimo produto,"Produto possui apenas beleza, seu funcionamento é de péssima qualidade, pouquíssimo intuitivo para acertar hora, data e etc. Sem contar que para ver as horas tem tocar no visor umas 50 vezes. Tudo bem que tem valor irrisório para um relógio, mas poderia funcionar ao menos a função relógio...."
Móveis,3,Produto bom,"Pontos Positivos: bom custo benefício, fácil de montar, designer bonito.  Ponto negativo : um pouco Frágil."
Celulares e Smartphones,2,nao gostei muito porque veio com defeito,"Adorei no começo mesmo quando chegou funcionando somente uma das entradas, mas nao deu nem um mês e agora o aparelho nao liga mais, ja tentei entrar em contato com a empresa e nao tive sucesso."
Eletroportáteis,3,produto bom,bom. apenas um problema no botão de ligar a temperatura que as veses desliga sozinho
Filmes e Séries,5,Excelente filme,"Muito bom o filme, chegou antes do prazo e  a rapidez de toda a equipe da Americanas foi muito boa. Recomendo que comprem na Americanas.com."
Celulares e Smartphones,3,Bom custo benefício,"Muito bom, a câmera é excelente,boa memória interna, único problema que é comum a vários Motorola é que a bateria esquenta muito em uso de aplicativos que usam muito processamento ."
TV e Home Theater,4,"ótima tv, porém sem saída rca","A  tv é ótima levando em consideração o valor que é a mais barata, som, imagem tudo ok, só me decepcionei até pensei em devolver pq não tem saída rca como as fotos do anúncio das Americanas mostrou tem apenas saída coaxial e fone de ouvido, tive que comprar um adaptador pra ligar minhas caixas de som. Fora isso indico"
Utilidades Domésticas,5,Muito satisfeita!,Produto bonito e bem acabado. A entrega foi rápida e o aparelho de jantar veio todo protegido.
Eletroportáteis,3,Gostei,Muito lindo o copo enorme...eu gostei vermelho perfeito
Utilidades Domésticas,4,kit confeiteiro 12 bicos russo,Gostei muito do produto acredito que com ele vou realizar o trabalho que quero
Eletroportáteis,2,Fiquei decepcionada,"Comprei do preto com cinza E  a peça que gira para abrir a água natural descascou como pode um purificador não ser resistente a água , não entendi, pedi a troca mais até agora não me responderam, pior que parcelei no cartão em menos de 10 dias já aparece esse defeito. Muito triste"
Eletroportáteis,5,Entrega super rápida,"Comprei no domingo, recebi na terça-feira. Estão de parabéns pela agilidade."
Câmeras e Filmadoras,1,PÉSSIMO ATENDIMENTO,"Comprei duas unidades e recebi apenas uma. A empresa não responde os e-mails e não se preocupa em resolver o problema, faz uma semana que o pedido foi entregue incompleto e ainda não me responderam se vão entregar o produto ou retornar o dinheiro. Não recomendo."
Filmes e Séries,1,"Como avaliar adequadamente, se ainda não recebi?","Comprei o produto em 17/03/2018 e não recebi até hoje, 16/04/2018, quase 30 dias depois! Péssimo serviço!"
Celulares e Smartphones,4,Muito bom.,"Já comprei o meu Müv Pro há 6 meses e não me arrependo, tem um dos melhores custo-benefício do mercado, bateria aguenta tranquilamente sair de casa pela manhã e chegar com 20% de carga ao fim do dia, em uso moderado, a câmera é muito boa, em ambientes abertos, não deixa a desejar em nada para uns celulares mais tops que tem, em pouco luminosidade e/ou ambientes fechados, claro que reduz a qualidade, o aparelho até hoje não travou uma vez sequer, acabamento da tampa traseira 'espelhada', lindo de ver e é muito leve. Enfim, super recomendo este aparelho, deixemos o 'preconceito' de lado para marcas menos tradicionais, pois, não troco ele por nenhum da linha J da Samsung."
Informática e Acessórios,5,"Mouse Deathadder Elire 16,000dpi 7 Botões Razer Preto","O Mouse adquirido foi escolhido pelo meu neto de noves anos de idade, para seu uso, principalmente nos jogos on-line. Ele esta muito satisfeito com o produto. Elogiando a velocidade dos ""cliques"" (não sei qual termo usar para isso). Satisfação total."
Informática,3,Minha opinião,Um bom produto mas que por falha minha não percebi que não tem gravador de cd dvd. No geral é muito bom
Móveis,5,"Produto, Otimo para Residencia.","Gestei muito, e parece ser bem resistente, vamos ver quanto a pilha vai durar. Muito BOM!!!!!"
Beleza e Perfumaria,5,Maravilhoso,"Muito bom super recomendo, o cheiro é suave, e rende muitoooo. Não me deu nenhuma alergia"
Bebês,5,"Lindo. Adorei,",Produto de ótima qualidade. Confortável.  E principalmente seguro.
Automotivo,5,Adaptei na pipoqueira,"Gosto muito de pipoca, com este friozinho não tem alimento melhor... Comprei um desses para adaptar na minha pipoqueira Polishop Tabajara e ficou muito bom!!! As pipocas saem a jato a 320 km/h... Unico problema que os milharais do estado não são suficientes para abastecer o produto com a quantidade de milho necessária... Será que se eu negociar com a Crevrolet eles não pedem pro Trump mandar mais um pouco de milho prá nóis?"
Câmeras e Filmadoras,3,no prazo,produto ja conhecido de todos o que posso avaliar é a entrega que foi bem sucedida e no prazo
Beleza e Perfumaria,1,Péssimo Produto,"Fiz a recarga da bateria conforme orientação do fabricante, porém não funcionou. Ele perde a força e para. Decepcionada! Não compro mais nada da marca Mondial."
Bebês,3,Muito prática.,Muito prática e leve para manuseio. Mas a música do brinquedo é muito curta. Se troca repetitivo até para a criança.
Eletroportáteis,5,mt bom,"Produto chegou em otimo estado, e antes do prazo previsto."
Beleza e Perfumaria,5,Gostei muito do produto,Adorei o tempo chegou muito antes do prazo.  Aconselho todo mundo a usar.
Brinquedos,5,Quadriciclo,"Super recomendo, entrega super rápida e produto veio como esperado... minha filha adorou, e super lindo! Amei!"
Informática e Acessórios,4,"para meu uso, é bom demais","Na realidade, ainda não fiz a gravação que pretendo, mas quem tem, recomenda e já fiz uso de um. MUITO BOM"
Celulares e Smartphones,3,muito bom !,ótimo produto recomendo pode compra sem medo site confiante
Pet Shop,1,não funciona,O produto não impede picada de pernilongos  e a bateria não dura nada.
TV e Home Theater,1,som e imagem,Quando liguei o aparelho eu achei que veio com defeito de fábrica. O som parecia que vinha de uma lata. A imagem estava embaçada. Tentei melhorar sando os recursos que pude acessar pelo controle remoto e nada. Levei na autorizada e o técnico disse que esse modelo é assim mesmo. Os auto falantes são fracos e a caixa do tv não tem acústica nenhuma. Quanto a imagem; mesmo com antena ou dvd tambem não há solução. É ruim mesmo.
Eletroportáteis,4,Refil Filtro Electrolux,Filtro Original da Electrolux para purificador de agua da Electrolux
Utilidades Domésticas,1,fragil,"bom dia , nao gostei do produto , pois no primeiro dia de uso das panelas os cabos derreteram, tanto das panelas como da caneca, tenho q cozinhar no fago baixo e mesmo assim todos os cabos estao queimados e começam a derreter, estranho ter uma panela e não poder usar o fogo normal pois os cabos derretem !"
Decoração,5,Excelente produto,"Produto e atendimento ótimo, sem contar o prazo de entrega foi muito rápido."
Celulares e Smartphones,3,Cumpre sua missão,Telefone tem um bom acabamento e supera a maioria dos concorrentes com mesma faixa de preço.
Games,1,Quase 1 mês de compra e não chegou,"Comprei o jogo dia 20/04 no dia do lançamento paguei 24,99 de frete por queria receber o mais rápido possível, me deram a previsão de entrega pro dia 14/05 eu acreditei que receberia bem antes disso,mais pra minha decepção ser maior ainda hoje 16/05 meu jogo ainda se encontra transferindo pra minha região desde o dia 02/05, já comprei outros jogos nas americanas e recebi antes do prazo, mais justo com o God of War aconteceu isso. já vai fazer um mês da compra e nada de chegar o jogo, poderia ter comprado em outras lojas que já teria recebido e zerado o jogo com certeza. Estou muito mordido com isso. Em relação ao jogo com certeza deve ser maravilhoso mais infelizmente não posso afirmar ainda. Obrigado Americanas"
Celulares e Smartphones,3,Gostei bastante,"Produto bom, a entrega foi ótima antes do dia combinado"
Beleza e Perfumaria,1,ODIEI!,"ESTOU ESPERANDO DEVOLVEREM MEU DINHEIRO, POIS O PRODUTO NÃO FUNCIONOU QUANDO CHEGOU E POR ISSO DEOLVI"
Utilidades Domésticas,2,"Excelente ideia, mas muito frágil","Com 3 dias de instalado, ao recolher o varal a ""manivela"" quebrou e perdeu a finalidade do produto, pois não consigo mais recolher.... Ele trava bem e é possível ajustar o tamanho conforme a quantidade que necessita, a ideia é excelente, mas o produto é frágil."
Informática,1,,"Esse notebook é um lixo, cheio de bug, quando chegou deu problema na bateria, agora tá travando muito! Tô com um mês usando ele, é um lixo com todas as letras! UM LIXOO!"
Livros,5,Um dos Melhores livros que ja Li,"chegou bem embalado, livro lindo, otima historia , folhas amarelas super recomendo"
Móveis,1,Não recebi,Na hora da compra era 30 dias úteis depois que comprei fala mais de 60 dias
Celulares e Smartphones,4,GOSTEI DO PRODUTO,"PARA QUEM QUISER UM APARELHO COM BOM ESPACO DE MEMORIA, E FUNCIONAL...DA PRA SE DIZER QUE E UM COMPUTADOR...TEM PRATICAMENTE O QUE UM COMPUTADOR TEM. APROVADO."
Celulares e Smartphones,4,Aparelho muito bom,"Comprei e adorei, vale a pena comprar este celular."
Games,1,Defeito,"Botao analogico ambos com defeito,  sensibilidade de ambos falham"
Eletrodomésticos,4,Excelente produto,Entrega antes do prazo estimado. Gostei muito. Recomendo
Ferramentas e Jardim,5,Ótima,"Ótimo jogo de chave, para uma emergência em mecânica geral."
Celulares e Smartphones,3,Gostei.,"Quanto à entrega, estão de parabéns. Sempre recebo os produtos antes do prazo. Quanto ao aparelho, atendeu às minhas espectativas, a única coisa que nao foi 100% é a câmera traseira que deixa as fotos embaçadas."
Moda,5,Excelente produto,"Excelente produto, entrega super rápida, recomendo a todos."
Celulares e Smartphones,1,Produto de má qualidade,Comprei o produto achando que poderia utilizar pelo menos um ano. Mas usei apenas uma vez. Logo após coloquei para carregar e não funcionou mais. Infelizmente não recomendo!
Informática e Acessórios,5,Produto muito bom,"Avaliando até o momento o produto é muito bom, não tive problemas ainda."
Eletroportáteis,4,"muito prática, amei","é a segunda que comprei, usei bastante a primeira, aí dei para minha filha e comprei outra, muito boa"
Eletroportáteis,5,Comprem sem medo,"Pratico, fácil ao manuciar,  excelente produto. Comprem sem medo."
Brinquedos,5,Gostei muito!,Produto de boa qualidade. Bonitinhos e muito bem feitos. Usei como enfeite do bolo de aniversário da minha filha.
Celulares e Smartphones,1,Não cumpre o que diz.,"Não cobre 100% da tela,as pontas superior e inferior ficam desprotegidos,mesmo com capinha fica aparecendo os recortes da película. Entrega feita antes do prazo,porém esperava o produto deixa a desejar muito."
Eletroportáteis,5,"O mais acessível nesta categoria de filtragem ""A""","É o purificador de água mais acessível na categoria de filtragem ""A"", os demais são muito caros, por isso estou muito satisfeito com o produto, além da confiabilidade, funciona muito bem e é de fácil instalação."
Saúde,1,O produto não foi entregue,Infelizmente não posso avaliar a qualidade do produto pois não recebi nada e não tive nenhum retorno da empresa Hiper Fisio apesar dos registros que fiz aqui no site por não ter recebido o produto no prazo informado. O prazo limite da entrega foi dia 25/04 e até hoje não tive informações sobre o produto que paguei. Isso nunca tinha acontecido em nenhuma compra feita no site da Americanas. Umas decepção!
Móveis,2,Cadeiras,"A mesa sim ,mais as cadeiras são muitos frágeis só é beleza não indico"
Esporte e Lazer,2,Embalagem,"O produto veio com a tampa quebrada quando recebi. Achei falta de cuidado da empresa, que poderia ter embalado melhor."
Utilidades Domésticas,4,Produto lindo,"Gostei muito do produto. Pensava que era de metal, porém é de plástico, mas mesmo assim atende ao que é prometido.  Chegou antes do prazo. Parabéns"
Informática e Acessórios,5,Perfeito,Produto super útil para a TV BOX ou Smart TV. Recomendo para quem quiser praticidade em navegar nesses aparelhos.
Celulares e Smartphones,5,Ótimo!!!,"Chegou antesdo prazo, entrega super rapida!!! Super recomendo!!! De ótima qualidade.!!"
Beleza e Perfumaria,5,muiiiito bom!!!,"já comprei vários, mas esse é perfeito, cheiro agradável delicado e sofisticado!!!"
Livros,4,"R$ 285,00?!","Paguei R$ 49,90 há pouco tempo atrás... Que preço é essr, Americanas?! Vamos incentivar à leitura? Assim não dá!!! :O"
Livros,5,Recomendo,Recomendo chegou no prazo e do jeito que pedi poderia chegarçom mais rapido
Celulares e Smartphones,5,J7 pro,"Celular top, chego antes do combinado equipe directlog está de parabéns logo vo compra o s8 por aqui tbm"
Casa e Construção,4,Boa Iluminação - atende os requisitos porém a entrega.....,"Atende os requisitos, é o que eu precisava, porém o sistema de entrega Americanas nem vou falar o que é, sem contar que um refletor chegou com a parte traseira quebrada porém está funcionando e com muito atraso de entrega de novo Americanas, a Loja é boa, porém o sistema de entrega..............."
Livros,5,Muito bom!!!,"Gostei bastante da aquisição, completo e entregue bem antes do prazo. RECOMENDO!"
Beleza e Perfumaria,1,Não recomendo!,"A escova é leve, seca e alisa, deixa com brilho macies no cabelo. Adorei!! Porém... com 1 mês de compra e pouco uso , parou de funcionar. Estou em tramites para devolver ou trocar, achei que era realmente muito boa devido as avaliações, mas deixou a desejar.  Não recomendo!"
Informática e Acessórios,1,produto ruim,"produto péssimo, qualidade horrível, não suporta nem o próprio peso, imagina colocar um notebook, não comprem. nem deveriam anunciar a venda desse material"
Celulares e Smartphones,4,Ótimo smartphone,"Tem um bom desempenho, ainda mais que eu uso aplicativos mais leves. Ainda não testei nenhum aplicativo mais pesado mas por ora tem me atendido bem."
Malas e Acessórios,3,Bom e bonito,So as alças da lancheira q sao fracas nao sao acochoadas como da mochila. No mais um produto bom.
Moda,2,Médio,Achei que a malha seria melhor e que teria impressão tb nas costas.
Eletrodomésticos,5,"Ótimo produto, super indicado","Produto de ótima qualidade, e acabamento e funcionabilidade"
Celulares e Smartphones,4,Celular pra ficar com vc por um bom tempo.,"Correspondeu às minhas expectativas!!!! Super indico top..... Site muito bom, não demora a entrega a encomenda vem como o pedido feito pelo site....."
Bebês,4,Termômetro infravermelho,"Este produto é muito bom, chegou antes do previsto. Super indico a Loja Americanas"
Suplementos e Vitaminas,1,Produto ruim,Produto demorou muito a ser enviado. Não tem nada na embalagem que informa ser um produto que o cliente deseja. Até a fórmula só informa que tem poucas vitaminas. Decepção.
Eletroportáteis,5,Pipoqueira elétrica Britânia PopTime,"Entrega super rápida, antes da data. Produto super prático de usar e diverti as crianças e adultos em casa. Agora filme aqui em casa só com pipoca. Super ótimo ."
Saúde,3,Produto entregue rápido,"Aparelho bem simples, mas pelo preço valeu a compra"
Celulares e Smartphones,1,Meu produto veio com defeito!,"Recebi, testei e funcionou...  Na semana seguinte fui usar e já não tinha carga, coloquei pra carregar e não carregou. Traduzindo, não usei nem um dia o produto!  Já mandei e-mail reclamando e até o momento não tive retorno!"
TV e Home Theater,5,Excelente produto,"Excelente tv, superou todas as expectativas que procurei"
Eletroportáteis,4,Muito boa!!,"Gostei muito, prática e eficiente. Designe muito bonito..."
Celulares e Smartphones,4,Custo benefício bom.,"Atendeu minhas expectativas. Uso o aparelho para funções do dia-a-dia, e para administrar um site de vendas. Não tenho problemas de travamentos. As fotos tiradas com este aparelho também atende nossos objetivos."
Eletroportáteis,4,Muito prático,Apesar de compacto é bem potente. Gostei da facilidade de montar e a limpeza é bem fácil.
Utilidades Domésticas,4,Gostei do produto,Produto muito bom e dentro das minhas expectativas
Utilidades Domésticas,1,Insatisfeita,Nao tem qualidade. Traz insegurança.nao devolvi o produto pois ja tinha tirado da embalagem para fazer o teste. Li tido o manual. Depois vi que nao era um produto de qualidade.
Celulares e Smartphones,4,Recomendo,"A Câmara é  ótima, não trava, aparelho leve, só o som do aparelho é baixo, mas isso é de menos."
Eletroportáteis,5,Otimo produto,Comprei para dar de presente.  A pessoa que recebeu adorou o produto.  Já  usou e esta bem satisfeita..
Informática e Acessórios,5,Excelente,"Produto chegou em tempo menor do que previsto, em perfeito estado e exatamente como eu havia solicitado."
TV e Home Theater,2,Tv regular,"Tv bonita e de fácil acesso ao seus app, mas a qualidade de material é um pouco inferior as que já possuo"
Automotivo,4,Produto recomendável,"Muito bom. Adesivo de boa qualidade, imã potente. Versátil, pode ser colocado em diversas partes do painel do carro."
Beleza e Perfumaria,5,avaliaçao,produto de ótima qualidade e rapidez na entrega  parabens
Suplementos e Vitaminas,5,"Bom, bonito e barato","Barato, excelente valor nutricional, fácil de transportar, muito prática a forma de tomar!"
Decoração,3,Bonito,"Muito bonito, ficou show no quarto da minha filha, porém dá trabalho para colocar, precisa de muita atenção."
Celulares e Smartphones,1,"Nunca recebi o celular, pedi cancelamento em 15/12 e não resolveram","Comprei esse celular em 24/11, ate 15/12 que era a data da entrega não chegou, no dia 16/12 cancelei a compra, o celular estava retido no Parana e continua ate hoje. Estou pagando a 3a parcela do celular que não veio e eles nao resolveram a situação. Falta de respeito. Aposto que vão apagar o que eu escrevi."
Informática,5,amei,chegou super rápido é perfeito para o q eu precisava
Móveis,2,Armário que engana,"O armário no site não possui as medidas e ingenuamente, iludido pelas fotos, acreditei que fosse maior. Trata-se de um armário muito baixo, onde a pessoa para acessar as partes internas tem que ajoelhar ou quase que ""deitar"" no chão. Por sinal é algo generalizado no site, onde os móveis de escritório tem dimensões muito pequenas, parecem móveis para crianças. Como sempre o prejuízo é sempre do consumidor."
Informática e Acessórios,4,Muito bom.,Ótimo produto. Já possuía assinatura só que é bem mais em conta comprar um novo do que renovar a assinatura.
Relógios,1,o produto já deu problema o ponteiro dos segundos parou de funcionar,produto de má qualidade nem 2 semanas de uso e já apresentou problema
Eletroportáteis,5,muito bom,"produto excelente, ate que ja e o segundo aparelho que compro, pois gostei muito do aparelho"
Câmeras e Filmadoras,5,Muito Bom,execelente meu celular só tem 16 gb agora vou aumentar com 32gb muito bom produto
TV e Home Theater,4,Custo Benefício,"tv simples, mas com recursos que atendem bem a expectativa, poderia ter mais entradas usb e HDMI, mas pelo preço e pelos aplicativos que tem atende bem. recomendo"
Eletroportáteis,5,Excelente,Ótimo produto. Recomendadissimo. Podem comprar sem medo.
Informática,4,Notebook Compaq,Produto muito bom. Atendeu minhas necessidades. Recomendo a todos que precisem de um notebook para tarefas diárias.
Bebês,5,Ótima aquisição,Excelente produto e ajuda para a independência da criança.
Utilidades Domésticas,1,"Se é cromado, não é inox.","Ou é erro na descrição ou propaganda enganosa... Se é cromado, não é inox."
Beleza e Perfumaria,3,Produto bom,"Estou gostando muito da base bomba, faz apenas 2 dias que estou usando, mais está sendo ótima pra mim e  estou feliz que ela nao me deu alergia.  Obrigado"
Automotivo,1,Zero,"Véio trocado, fiz à reclamação e vcs não devolveram o meu dinheiro"
Livros,5,maravilhoso,muito bom recomendo a todos .....................................
TV e Home Theater,5,otimo o produto,"Ate o momento não tenho nada a reclamar,um ótimo produto bem moderno com os avanços das tecnologias."
Eletrodomésticos,4,Ótimo microondas,"Ele é ótimo, só a função tira odor que funciona lá essas coisas com pipoca de microondas rs. Mas ele é ótimo e muito grande mesmo."
Brinquedos,5,Muito bonito e bem feito,"O ""action figure"" é muito bem feito e a entrega foi bem rápida."
Celulares e Smartphones,5,Excelente!,"Ótimo aparelho, cumpri todas as promessas e tem um ótimo funcionamento."
"Cama, Mesa e Banho",2,mal acabado,achei bem simples e mal acabado. uma das almofadas veio rasgada.
Livros,5,Livro Queda de Gigantes,O livro foi bem embalado e chegou em ótimas condições.
Celulares e Smartphones,4,Eu gostei muito.,Oi....boa noite.....muito bom produto otimo......comprei ele b pra mim......tinha comprado um moto g5 antes desse na mesma loja...ele deu defeito...mandei pra autorizada 1 vez deu problema denovo......mandei de volta....telefone pra trabalho....esse esta sendo muito bom o Samsung.
Telefonia Fixa,5,O produto é o que eu realmente queria.,"Acho que a entrega dos produtos poderia ser mais rápida. Não estou reclamando, pois fui devidamente informado da entrega em tal dia, mas outras empresas entregam mais rápido e vocês poderiam acompanhá-los. De qualquer forma, a entrega foi dentro do prazo combinado."
